"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 16:47:26 GMT-03:00 2024","Thu Feb 29 16:47:27 GMT-03:00 2024","1036","Default Suite","selenium_allureReport_testNG_jUnit_E2E_2","br.com.dbccompany.test.LoginTest","br.com.dbccompany.test.LoginTest","validarLoginDadosInvalidosTest4","TC0004 - validar login com dados Invalidos dinamicos",""
"passed","Thu Feb 29 16:47:32 GMT-03:00 2024","Thu Feb 29 16:47:37 GMT-03:00 2024","4561","Default Suite","selenium_allureReport_testNG_jUnit_E2E_2","br.com.dbccompany.test.LoginTest","br.com.dbccompany.test.LoginTest","validarLoginDadosValidos","TC0001 - validar login com dados Invalidos dinamicos",""
"passed","Thu Feb 29 16:47:09 GMT-03:00 2024","Thu Feb 29 16:47:13 GMT-03:00 2024","4321","Default Suite","selenium_allureReport_testNG_jUnit_E2E_2","br.com.dbccompany.test.LoginTest","br.com.dbccompany.test.LoginTest","validarLoginComDadosValidosTest3","TC0003 - validar login com dados Invalidos dinamicos",""
"passed","Thu Feb 29 16:47:17 GMT-03:00 2024","Thu Feb 29 16:47:21 GMT-03:00 2024","3551","Default Suite","selenium_allureReport_testNG_jUnit_E2E_2","br.com.dbccompany.test.LoginTest","br.com.dbccompany.test.LoginTest","validarLoginDadosInvalidos","validarLoginDadosInvalidos","TC002 - validar login com dados Invalidos dinamicos"
